# NR     X       Y     V    eV    I    eI    Ha   eHa   LgT eLgT   LgL eLgL  LgHa   EW   Mass Age LgMdot
   1 1515.66  778.65 11.82 0.01 11.58 0.01 10.84 0.01  3.90 0.03  4.60 0.06  1.68  -16.1 0.0  0.0  9.99
   2 3799.66 4212.51 13.63 0.01 13.80 0.01 13.03 0.00  4.17 0.16  4.34 0.17  0.74  -11.9 4.9  0.5 -4.27
   3 3242.22 2950.02 13.73 0.01 13.69 0.01 12.30 0.00  3.96 0.04  3.87 0.07  1.25  -43.0 0.0  0.0  9.99
   4 3569.54 2491.61 13.27 0.02 13.73 0.03 11.75 0.00  4.54 3.73  5.30 3.73  1.51  -61.9 3.4  0.4 -3.62
   5 3780.93 2483.78 14.25 0.00 13.86 0.00 11.25 0.00  3.86 0.03  3.64 0.07  1.77 -169.6 0.0  0.0  9.99
   6 4091.95 1805.12 13.30 0.01 13.56 0.01 12.69 0.04  4.33 0.17  4.83 0.18  0.91  -13.7 0.0  0.0  9.99
   7 3920.60 2719.35 13.86 0.01 14.49 0.01 13.23 0.00  4.54 3.73  5.06 3.73  0.75  -17.9 3.2  0.4 -4.47
   8 2717.66 3072.69 15.17 0.01 15.16 0.01 14.05 0.00  3.97 0.05  3.31 0.08  0.50  -28.7 4.9  0.5 -4.63
   9 2512.75 1236.81 14.56 0.01 14.99 0.01 13.99 0.01  4.54 3.73  4.78 3.73  0.41  -15.0 3.0  0.4 -4.92
  10 3858.95 2310.66 14.85 0.01 14.77 0.01 13.04 0.00  3.94 0.03  3.41 0.07  1.00  -63.2 4.9  0.5 -4.03
  11 1714.04 2355.57 15.29 0.01 14.59 0.01 13.36 0.00  3.78 0.03  3.25 0.07  0.81  -37.8 4.8  0.4 -3.96
  12 3562.88 3474.41 15.39 0.01 15.24 0.01 14.23 0.01  3.92 0.03  3.18 0.07  0.40  -23.1 4.8  0.4 -4.70
  13 4085.66 2242.37 14.90 0.01 15.00 0.01 13.39 0.02  4.07 0.13  3.60 0.15  0.83  -48.4 4.9  0.5 -4.35
  14 3986.25 2759.26 13.85 0.01 14.18 0.01 12.60 0.06  4.44 0.18  4.86 0.19  1.12  -40.5 0.0  0.0  9.99
  15 3098.25 3736.26 15.88 0.01 15.63 0.01 14.05 0.01  3.90 0.03  2.98 0.06  0.58  -56.6 4.8  0.4 -4.56
  16 3407.95 2316.16 15.41 0.01 15.50 0.01 13.97 0.00  4.06 0.13  3.39 0.14  0.59  -44.5 4.9  0.5 -4.68
  17 2274.78 1285.58 15.42 0.01 15.66 0.01 14.07 0.01  4.29 0.17  3.90 0.18  0.55  -44.1 4.9  0.5 -4.92
  18 3604.53 2332.30 15.85 0.01 15.87 0.01 15.11 0.01  3.99 0.06  3.07 0.09 -0.04  -15.2 4.9  0.5 -5.32
  19 3418.33 3510.34 16.12 0.01 16.05 0.01 13.24 0.02  3.95 0.04  2.90 0.07  0.98 -201.6 4.8  0.4 -4.30
  20 3147.19 2754.60 15.03 0.01 15.42 0.01 13.63 0.00  4.54 3.73  4.59 3.73  0.74  -51.2 2.9  0.4 -4.67
  21 3147.21 2754.60 15.18 0.01 15.49 0.01 13.72 0.00  4.40 0.18  4.25 0.19  0.70  -52.2 4.9  0.5 -4.82
  22 3214.11 3913.74 16.32 0.02 16.17 0.01 15.21 0.07  3.93 0.03  2.81 0.07 -0.01  -21.2 4.9  0.4 -5.30
  23 3543.20 2573.95 16.18 0.04 16.30 0.05 15.07 0.01  4.10 0.17  3.15 0.18  0.10  -29.5 4.8  0.6 -5.36
  24 4140.88 3606.09 16.61 0.01 16.63 0.01 14.27 0.01  3.99 0.06  2.76 0.09  0.55 -126.9 4.8  0.4 -4.89
  25 3771.88 2051.26 15.28 0.01 15.24 0.01 14.61 0.01  3.96 0.04  3.25 0.07  0.13  -12.6 4.8  0.5 -5.00
  26 3466.32 3442.50 16.39 0.01 16.32 0.01 14.97 0.01  3.95 0.04  2.79 0.07  0.17  -39.4 4.8  0.4 -5.16
  27 3603.48 2383.93 15.47 0.01 15.87 0.02 14.57 0.01  4.54 3.73  4.42 3.73  0.27  -25.8 2.8  0.4 -5.20
  28 3528.61 3867.71 16.71 0.01 16.86 0.01 15.83 0.02  4.13 0.15  3.02 0.17 -0.26  -20.9 4.9  0.5 -5.86
  29 3518.68 3178.11 16.66 0.01 16.70 0.01 15.87 0.01  4.01 0.09  2.78 0.10 -0.32  -16.6 4.7  0.5 -5.78
