NR,RA,DEC,X,Y,V,Age
1000000,84.635010,-69.064240,4413.52,3811.80,17.89,1.0
1000001,84.687180,-69.060257,2692.89,4180.52,18.15,1.2
1000002,84.667984,-69.073143,3325.51,2990.39,18.45,1.6
1000003,84.665993,-69.062294,3391.60,3991.92,17.88,1.1
1000004,84.760780,-69.096413,268.77,841.74,24.89,30.2
1000005,84.759857,-69.097443,299.27,746.67,22.38,12.5
1000006,84.757133,-69.084633,387.73,1929.36,23.77,41.2
1000007,84.756348,-69.086990,413.73,1711.24,25.11,32.4
1000008,84.756165,-69.089142,419.91,1513.12,24.41,18.7
1000009,84.756126,-69.089172,421.38,1510.09,24.47,19.0
1000010,84.754448,-69.097443,477.38,747.18,24.06,31.9
1000011,84.754097,-69.082977,487.53,2082.29,22.89,34.5
1000012,84.753204,-69.079605,516.75,2393.43,23.99,41.5
1000013,84.752983,-69.088341,524.74,1587.03,24.89,51.5
1000014,84.751610,-69.084122,569.71,1976.50,23.85,42.5
1000015,84.750526,-69.082542,605.04,2121.95,22.67,14.6
1000016,84.749977,-69.095070,624.26,966.12,24.40,27.7
1000017,84.749016,-69.084023,655.11,1985.89,24.37,47.1
1000018,84.748543,-69.090881,671.23,1352.35,25.55,45.7
1000019,84.748550,-69.094917,671.41,980.20,24.33,39.2
1000020,84.746780,-69.082977,728.69,2082.62,22.24,32.4
1000021,84.746689,-69.069084,730.49,3364.59,22.16,12.3
1000022,84.746262,-69.077988,745.33,2542.97,21.31,5.3
1000023,84.745842,-69.083069,759.46,2074.00,22.48,32.4
1000024,84.745644,-69.071373,765.12,3153.71,20.35,6.3
1000025,84.745049,-69.070854,784.77,3201.05,23.15,26.8
1000026,84.744820,-69.085030,793.35,1893.21,22.58,13.7
1000027,84.744553,-69.090393,802.73,1397.52,23.36,37.4
1000028,84.744049,-69.085350,818.78,1863.51,23.59,22.7
1000029,84.743752,-69.095116,829.47,961.63,22.78,5.0
1000030,84.743484,-69.099136,838.55,590.76,24.83,9.6
1000031,84.743423,-69.091835,840.04,1264.77,24.20,13.2
1000032,84.742950,-69.089211,855.35,1507.17,24.46,27.0
1000033,84.742683,-69.079475,863.45,2405.82,24.51,18.7
1000034,84.742119,-69.065155,880.83,3727.30,19.60,4.2
1000035,84.742065,-69.080978,883.90,2267.11,23.05,37.9
1000036,84.741959,-69.068970,886.35,3375.29,22.49,31.5
1000037,84.741608,-69.075981,898.60,2727.98,22.07,33.7
1000038,84.741577,-69.094215,900.87,1045.40,23.45,40.0
1000039,84.741081,-69.092773,917.07,1177.97,22.94,1.0
1000040,84.740761,-69.091057,927.54,1336.39,21.58,13.6
1000041,84.740509,-69.089012,935.85,1525.50,23.82,18.3
1000042,84.740349,-69.074883,940.08,2829.44,20.65,5.1
1000043,84.740227,-69.094086,945.42,1057.13,21.22,3.2
1000044,84.739975,-69.092789,953.59,1176.51,22.21,17.0
1000045,84.739380,-69.079338,972.27,2418.51,23.08,3.9
1000046,84.739227,-69.061394,975.89,4074.35,22.87,31.5
1000047,84.739288,-69.090866,976.19,1354.36,25.53,47.3
1000048,84.739044,-69.080109,983.29,2347.48,23.07,4.0
1000049,84.738640,-69.063370,995.38,3892.18,22.43,33.4
1000050,84.738113,-69.084892,1014.29,1905.62,22.53,31.1
1000051,84.737907,-69.089005,1021.44,1526.45,23.66,16.2
1000052,84.737923,-69.097427,1021.54,748.43,23.96,4.9
1000053,84.737717,-69.093849,1028.12,1079.34,22.89,24.8
1000054,84.737587,-69.084618,1031.60,1930.79,23.00,13.6
1000055,84.737328,-69.072662,1039.41,3034.82,24.09,44.9
1000056,84.737236,-69.089035,1043.46,1523.18,22.89,2.1
1000057,84.737160,-69.095352,1046.58,940.04,24.32,19.0
1000058,84.736855,-69.098862,1056.92,616.24,22.68,5.5
1000059,84.736771,-69.065247,1057.15,3718.95,18.86,2.5
1000060,84.736786,-69.078888,1057.71,2459.94,20.89,5.8
1000061,84.736740,-69.077469,1059.20,2591.17,18.94,0.4
1000062,84.736633,-69.076065,1062.64,2720.45,22.86,34.0
1000063,84.736389,-69.079155,1070.71,2435.71,22.09,11.9
1000064,84.735809,-69.077530,1089.68,2585.40,22.81,5.7
1000065,84.735817,-69.080109,1089.78,2347.63,23.99,29.9
1000066,84.734985,-69.074562,1116.66,2859.39,19.92,3.4
1000067,84.734993,-69.091545,1117.67,1291.89,23.72,31.2
1000068,84.734718,-69.086937,1126.47,1717.01,21.95,14.3
1000069,84.734489,-69.095184,1134.38,955.86,23.58,38.9
1000070,84.733910,-69.062920,1151.48,3933.94,19.78,16.6
1000071,84.733887,-69.083160,1153.62,2065.86,22.42,13.3
1000072,84.733910,-69.097008,1153.70,787.45,22.35,13.2
1000073,84.733727,-69.086159,1158.90,1789.28,23.60,9.5
1000074,84.733391,-69.068398,1169.01,3428.20,19.58,0.0
1000075,84.732986,-69.085335,1183.42,1865.14,22.45,13.9
1000076,84.732719,-69.060776,1190.45,4131.99,20.80,0.0
