#    ID     X        Y         RA            DEC
   1775  2717.13  1294.16   84.68643951  -69.09152222
   1948  1409.90  4152.73   84.72606659  -69.06055450
   2001  3728.68  2042.94   84.65573883  -69.08341217
   2057  3621.86  4196.30   84.65901947  -69.06008148
   2062  2866.12  4070.38   84.68192291  -69.06144714
   2102  2902.22  3655.29   84.68083191  -69.06594086
   2106  1803.77   989.45   84.71416473  -69.09482574
   2111  3015.68  2984.15   84.67738342  -69.07321167
   2123  1748.20   709.25   84.71585846  -69.09786224
   2220  4086.57  3547.88   84.64491272  -69.06710052
   2250  2267.38  1647.62   84.70008850  -69.08769226
   2264  3489.89  4096.60   84.66301727  -69.06116486
   2272  3482.87  1229.68   84.66319275  -69.09222412
   2280  2174.45  1007.84   84.70291138  -69.09462738
   2283  1252.73   866.56   84.73090363  -69.09615326
   2307  2531.66  4272.34   84.69206238  -69.05925751
   2313  3593.18   650.90   84.65983582  -69.09849548
   2350  2554.68  3781.01   84.69136810  -69.06458282
   2405  2205.35  1476.21   84.70197296  -69.08955383
   2430  2905.18  3147.48   84.68074036  -69.07144928
   2451  2532.44  3230.24   84.69203949  -69.07054901
   2452  3022.62  1285.59   84.67716217  -69.09161377
   2453   980.06   954.81   84.73917389  -69.09519196
   2468   749.86  1845.85   84.74613953  -69.08554077
   2478  4439.87  1787.59   84.63415527  -69.08617401
   2487  2813.67  2891.52   84.68350983  -69.07421875
   2553  2136.30  3292.47   84.70405579  -69.06987762
   2664  4223.99  2864.62   84.64073181  -69.07450104
   2666  1137.16  4772.51   84.73432159  -69.05383301
   2692  3844.35  3596.10   84.65225983  -69.06658173
   2714  2477.62  1442.29   84.69371033  -69.08992004
   2754  3773.26  1573.52   84.65438080  -69.08849335
   2780  2768.26  1246.58   84.68488312  -69.09204102
   2786  2699.14  3240.50   84.68698883  -69.07044220
   2795  3960.62  4236.01   84.64875031  -69.05964661
   2847  3610.04  3489.15   84.65936279  -69.06774139
   2875  4192.77   130.53   84.64160919  -69.10412598
   2888  2002.07  2119.75   84.70813751  -69.08258057
   2905  1253.07  1849.81   84.73087311  -69.08550262
   2908  3270.18  2815.00   84.66966248  -69.07505035
   2926  2526.12  3343.11   84.69223022  -69.06932831
   3000  3513.48  3590.35   84.66229248  -69.06664276
   3020  1081.56  2753.55   84.73605347  -69.07570648
   3023  2586.97  3448.01   84.69039154  -69.06819153
   3052  3593.96  2887.92   84.65984344  -69.07425690
   3058  1281.59  1740.21   84.73000336  -69.08668518
   3079  1715.55  1124.61   84.71684265  -69.09336090
   3082  1061.26  1954.26   84.73668671  -69.08436584
   3157  2050.20   589.94   84.70668793  -69.09915161
   3183  2534.34  2295.97   84.69198608  -69.08067322
   3186  1968.03  2679.80   84.70916748  -69.07651520
   3188  2278.35  2903.65   84.69975281  -69.07408905
   3243  1324.17  1979.32   84.72871399  -69.08409882
   3299   288.05  1328.13   84.76017761  -69.09114075
   3307  2843.58  2210.36   84.68260193  -69.08159637
   3317  3282.02  1727.88   84.66928864  -69.08682251
   3321  4748.99  2957.37   84.62480927  -69.07349396
   3349  2688.69  2934.32   84.68730164  -69.07375336
   3358  3261.37  1515.57   84.66991425  -69.08912659
   3455  3956.26  4082.55   84.64888000  -69.06130981
   3482  3028.34   996.84   84.67698669  -69.09474945
   3483  2056.71   432.58   84.70648956  -69.10086060
   3489  2280.11  2623.06   84.69969940  -69.07712555
   3497  4678.20  3120.49   84.62696075  -69.07172394
   3510  2140.51  3099.35   84.70392609  -69.07196808
   3521  2546.69  2087.08   84.69161224  -69.08293152
   3522  1511.74  1871.71   84.72302246  -69.08526611
   3623  2748.47  2335.61   84.68548584  -69.08023834
   3727  1411.63  2682.12   84.72604370  -69.07648468
   3738   540.70  1898.09   84.75248718  -69.08496857
   3753  2106.26  1464.54   84.70497894  -69.08967590
   3764   732.93  1381.77   84.74666595  -69.09056854
   3816  2693.95  3094.15   84.68714142  -69.07202148
   3819  1790.86  1445.01   84.71455383  -69.08988953
   3831   474.27  1558.24   84.75451660  -69.08865356
   3847   867.36   945.69   84.74259949  -69.09529114
   3899  2873.99  2154.35   84.68167877  -69.08220673
   3900  3463.48  3894.68   84.66381073  -69.06334686
   3936  2713.83  2534.47   84.68653870  -69.07808685
   3942   653.66   687.12   84.74909210  -69.09809113
   3983  2282.01  1404.32   84.69964600  -69.09033203
   4012  3021.04  2654.79   84.67722321  -69.07678223
   4016  2836.11  1176.23   84.68282318  -69.09280396
   4027  2878.86  2784.65   84.68153381  -69.07537842
   4165  3852.41  3989.42   84.65202332  -69.06231689
   4177   172.17  1012.04   84.76370239  -69.09456635
   4274  1911.00  2022.10   84.71089935  -69.08363342
   4352   568.87  2423.53   84.75161743  -69.07927704
   4369  3791.97  3164.44   84.65383911  -69.07125854
   4377  2177.49  2608.09   84.70281219  -69.07728577
   4378  3313.43  3684.72   84.66835785  -69.06562805
   4411   679.43  1636.97   84.74828339  -69.08779907
   4421  2596.56  3337.89   84.69009399  -69.06938171
   4425  2900.98   440.79   84.68085480  -69.10076904
   4433  3103.33   819.15   84.67470551  -69.09667206
   4438  1073.84  3467.38   84.73627472  -69.06797028
   4477   521.25  1126.36   84.75310516  -69.09333038
   4551  3194.18  2382.14   84.67196655  -69.07973480
   4578  3107.07  2690.82   84.67460632  -69.07639313
   4615  3524.65  1226.77   84.66191864  -69.09225464
   4657  3343.96  2381.88   84.66741943  -69.07974243
   4666   922.16  1326.66   84.74092865  -69.09116364
   4673  1417.33  2948.25   84.72586823  -69.07360077
   4706   315.32  1040.78   84.75936127  -69.09425354
   4721   445.19  1220.10   84.75540924  -69.09231567
   4754  3303.64   423.67   84.66862488  -69.10095215
   4785   694.66  2394.72   84.74780273  -69.07958984
   4787  3040.07  2657.72   84.67664337  -69.07675171
   4798  1381.06  3472.93   84.72695923  -69.06791687
   4824  3650.85  3445.77   84.65812683  -69.06821442
   4830  2844.63   553.19   84.68256378  -69.09955597
   4853   468.77   721.94   84.75470734  -69.09770966
   4886  2957.33  2890.56   84.67915344  -69.07422638
   4948  1095.46  1289.63   84.73566437  -69.09156799
   4964  1007.83   613.04   84.73834229  -69.09889984
   4980  4079.94  2638.77   84.64509583  -69.07695007
   5205  1891.86  3895.64   84.71146393  -69.06333923
   5270  2890.48  2490.33   84.68118286  -69.07856750
   5294  1650.06  2368.14   84.71881866  -69.07988739
   5396  3801.80  1918.28   84.65351868  -69.08476257
   5407   730.18  2979.38   84.74671173  -69.07325745
   5447  3213.03   608.49   84.67137909  -69.09895325
   5453  2896.63  2322.48   84.68099213  -69.08038330
   5466  1059.21  2591.15   84.73674011  -69.07746887
   5561  3612.90  1344.81   84.65924072  -69.09097290
   5565  2733.01  2467.30   84.68595886  -69.07881165
   5581  4315.06  1038.63   84.63792419  -69.09428406
   5763   985.54  1019.49   84.73900604  -69.09449005
   5786  1941.74  2393.58   84.70996094  -69.07961273
   5851  2156.66  3583.24   84.70343781  -69.06672668
   5899  3931.55  2464.73   84.64959717  -69.07884216
   6075  1701.69  3251.40   84.71723938  -69.07032013
   6112  1169.02  3428.21   84.73339081  -69.06839752
   6217  4168.75  2073.50   84.64238739  -69.08307648
   6282  4108.61  1215.91   84.64419556  -69.09236908
   6347  1085.60  4786.05   84.73588562  -69.05368805
   6541  3818.29   570.59   84.65299225  -69.09935760
   6807   976.31  4114.69   84.73921204  -69.06095886
   7392  3995.34  2612.32   84.64765930  -69.07723999
   7451  4140.37  1910.48   84.64324188  -69.08483887
